PCBoard 15.4 PCBTEXT Upgrade Utility
Copyright (C) 1988-1997 Clark Development Company, Inc.
Record #761 has been upgraded in OLD.CDC.
Record #762 has been upgraded in OLD.CDC.
Record #763 has been upgraded in OLD.CDC.
Record #764 has been upgraded in OLD.CDC.
Record #765 has been upgraded in OLD.CDC.
Record #766 has been upgraded in OLD.CDC.
Record #767 has been upgraded in OLD.CDC.
Record #768 has been upgraded in OLD.CDC.
Record #769 has been upgraded in OLD.CDC.
Record #770 has been upgraded in OLD.CDC.
Record #771 has been upgraded in OLD.CDC.
Record #772 has been upgraded in OLD.CDC.
Record #773 has been upgraded in OLD.CDC.
Record #774 has been upgraded in OLD.CDC.
Record #775 has been upgraded in OLD.CDC.
Record #776 has been upgraded in OLD.CDC.
Record #777 has been upgraded in OLD.CDC.
Record #778 has been upgraded in OLD.CDC.
Record #779 has been upgraded in OLD.CDC.
Record #780 has been upgraded in OLD.CDC.
Record #781 has been upgraded in OLD.CDC.
Record #782 has been upgraded in OLD.CDC.
Record #783 has been upgraded in OLD.CDC.
Record #784 has been upgraded in OLD.CDC.
Record #785 has been upgraded in OLD.CDC.
Record #786 has been upgraded in OLD.CDC.
Record #787 has been upgraded in OLD.CDC.
Record #788 has been upgraded in OLD.CDC.
Record #789 has been upgraded in OLD.CDC.
Record #790 has been upgraded in OLD.CDC.
Record #791 has been upgraded in OLD.CDC.
Record #792 has been upgraded in OLD.CDC.
Record #793 has been upgraded in OLD.CDC.
Record #794 has been upgraded in OLD.CDC.
Record #795 has been upgraded in OLD.CDC.
Record #796 has been upgraded in OLD.CDC.
Record #797 has been upgraded in OLD.CDC.
Record #798 has been upgraded in OLD.CDC.
Record #799 has been upgraded in OLD.CDC.
Record #800 has been upgraded in OLD.CDC.
Record #801 has been upgraded in OLD.CDC.
Record #802 has been upgraded in OLD.CDC.
Record #803 has been upgraded in OLD.CDC.
Record #804 has been upgraded in OLD.CDC.
Record #805 has been upgraded in OLD.CDC.
Record #806 has been upgraded in OLD.CDC.
Record #807 has been upgraded in OLD.CDC.
Record #808 has been upgraded in OLD.CDC.
Record #809 has been upgraded in OLD.CDC.
Record #810 has been upgraded in OLD.CDC.
Record #811 has been upgraded in OLD.CDC.
Record #812 has been upgraded in OLD.CDC.
Record #813 has been upgraded in OLD.CDC.
Record #814 has been upgraded in OLD.CDC.
Record #815 has been upgraded in OLD.CDC.
Record #816 has been upgraded in OLD.CDC.
Record #817 has been upgraded in OLD.CDC.
OLD.CDC has been upgraded
